,palette_number,page_number,likes,date_posted,block1,block2,block3,block4,block5,block6
557,22714,27,10,1 month ago,jungle_log,moss_block,jungle_planks,deepslate,orange_terracotta,green_concrete
558,22713,27,0,1 month ago,blue_wool,brown_shulker_box,ancient_debris,lapis_block,blue_shulker_box,brown_wool
559,22712,27,2,1 month ago,white_stained_glass,quartz_block,redstone_lamp,white_concrete,gray_concrete,black_concrete
560,22711,27,9,1 month ago,moss_block,mossy_cobblestone,mossy_stone_bricks,cobblestone,cracked_stone_bricks,green_concrete_powder
561,22710,27,0,1 month ago,birch_planks,dripstone_block,granite,jungle_leaves,oak_log,yellow_terracotta
562,22709,27,8,1 month ago,red_mushroom_block,mushroom_stem,cobblestone,red_concrete,spruce_log,moss_block
563,22708,27,0,1 month ago,deepslate_tiles,quartz_pillar,oxidized_cut_copper,sea_lantern,copper_block,amethyst_block
564,22707,27,2,1 month ago,deepslate,deepslate_bricks,stripped_jungle_log,jungle_planks,mossy_stone_bricks,dripstone_block
565,22706,27,2,1 month ago,acacia_leaves,azalea_leaves,flowering_azalea_leaves,jungle_leaves,spruce_planks,oak_log
566,22705,27,6,1 month ago,green_terracotta,mossy_stone_bricks,green_stained_glass,jungle_planks,terracotta,stripped_jungle_log
567,22704,28,1,1 month ago,cyan_wool,deepslate_bricks,spruce_planks,stripped_birch_log,cyan_glazed_terracotta,white_stained_glass
568,22703,28,4,1 month ago,tuff,birch_planks,granite,birch_log,bricks,stripped_birch_log
569,22702,28,47,1 month ago,white_concrete,green_terracotta,bone_block,green_glazed_terracotta,quartz_pillar,birch_planks
570,22701,28,10,1 month ago,green_concrete,spruce_log,cobblestone,stripped_spruce_log,red_mushroom_block,spruce_planks
571,22700,28,3,1 month ago,green_concrete,jungle_leaves,mossy_stone_bricks,mossy_cobblestone,jungle_log,lime_terracotta
572,22699,28,2,1 month ago,magenta_terracotta,bone_block,nether_bricks,jungle_planks,stripped_crimson_stem,white_terracotta
573,22698,28,2,1 month ago,dark_oak_planks,blue_concrete_powder,gray_terracotta,blue_stained_glass,soul_soil,white_terracotta
574,22697,28,0,1 month ago,gray_terracotta,terracotta,dark_oak_log,soul_sand,iron_bars,jungle_planks
575,22696,28,8,1 month ago,yellow_terracotta,gold_block,redstone_lamp,cracked_polished_blackstone_bricks,gilded_blackstone,raw_gold_block
576,22695,28,12,1 month ago,flowering_azalea_leaves,mossy_cobblestone,moss_block,barrel,mossy_stone_bricks,spruce_log
577,22694,28,2,1 month ago,blue_ice,calcite,packed_ice,spruce_planks,stone_bricks,stripped_spruce_log
578,22693,28,5,1 month ago,red_terracotta,oak_planks,bricks,stripped_oak_log,red_stained_glass,stripped_spruce_log
579,22692,28,21,1 month ago,stripped_oak_log,stripped_dark_oak_log,spruce_planks,brown_wool,jungle_planks,oak_log
580,22691,28,1,1 month ago,stripped_jungle_log,mushroom_block,stripped_birch_log,tuff,piston,cobbled_deepslate
581,22690,28,1,1 month ago,calcite,acacia_planks,cut_copper,tuff,cobbled_deepslate,dark_oak_log
582,22689,28,7,1 month ago,mossy_cobblestone,moss_block,flowering_azalea_leaves,tuff,oak_log,spruce_planks
583,22688,28,3,1 month ago,mossy_cobblestone,moss_block,flowering_azalea_leaves,tuff,oak_log,lime_terracotta
